order_item_id,order_id,item_name,quantity,price
1,1,Masala Dosa,1,129
2,1,Filter Coffee,2,49
3,2,Pasta Alfredo,1,229
4,2,Margherita Pizza,2,249
5,3,Veg Burger,2,99
6,4,Butter Chicken,1,249
7,5,Margherita Pizza,2,249
8,5,Pasta Alfredo,2,229
9,5,Garlic Bread,1,99
10,6,Uttapam,1,139
11,6,Filter Coffee,1,49
12,6,Masala Dosa,2,129
13,7,Chicken Burger,1,149
14,7,Veg Burger,2,99
15,8,Chicken Burger,2,149
16,8,French Fries,1,89
17,9,Veg Burger,1,99
18,9,Chicken Burger,2,149
19,10,Butter Chicken,2,249
20,11,Chicken Burger,2,149
21,12,Masala Dosa,1,129
22,12,Uttapam,1,139
23,13,Veg Burger,1,99
24,13,Chicken Burger,1,149
25,13,French Fries,1,89
26,14,French Fries,1,89
27,14,Veg Burger,1,99
28,14,Chicken Burger,1,149
29,15,Uttapam,1,139
30,15,Idli Sambar,1,99
31,15,Filter Coffee,2,49
32,16,French Fries,1,89
33,16,Veg Burger,1,99
34,17,Margherita Pizza,1,249
35,18,Veg Burger,1,99
36,18,Chicken Burger,1,149
37,18,French Fries,1,89
38,19,Naan,1,49
39,19,Dal Makhani,2,179
40,19,Butter Chicken,2,249
41,20,Uttapam,1,139
42,20,Idli Sambar,2,99
43,20,Filter Coffee,1,49
44,21,Filter Coffee,1,49
45,21,Idli Sambar,1,99
46,22,Veg Burger,2,99
47,23,Garlic Bread,1,99
48,24,French Fries,2,89
49,25,Uttapam,2,139
50,25,Masala Dosa,1,129
51,26,Chicken Burger,2,149
52,27,Idli Sambar,1,99
53,28,Margherita Pizza,2,249
54,28,Pasta Alfredo,2,229
55,29,Uttapam,2,139
56,29,Masala Dosa,1,129
57,30,Masala Dosa,1,129
58,30,Uttapam,2,139
59,31,Veg Burger,1,99
60,31,Chicken Burger,2,149
61,32,Hakka Noodles,1,159
62,32,Veg Manchurian,1,179
63,32,Fried Rice,2,149
64,33,Fried Rice,2,149
65,33,Momos,2,119
66,33,Veg Manchurian,1,179
67,34,Margherita Pizza,1,249
68,35,Veg Burger,1,99
69,35,Chicken Burger,2,149
70,36,Dal Makhani,1,179
71,36,Naan,2,49
72,36,Butter Chicken,1,249
73,37,Chicken Burger,1,149
74,37,Veg Burger,1,99
75,38,Hakka Noodles,1,159
76,38,Veg Manchurian,2,179
77,39,French Fries,2,89
78,40,Margherita Pizza,2,249
79,40,Pasta Alfredo,2,229
80,41,Pasta Alfredo,1,229
81,42,Idli Sambar,1,99
82,42,Masala Dosa,1,129
83,43,Margherita Pizza,2,249
84,43,Pasta Alfredo,2,229
85,43,Garlic Bread,1,99
86,44,Naan,1,49
87,44,Paneer Tikka,2,199
88,44,Dal Makhani,1,179
89,45,Chicken Burger,1,149
90,45,Veg Burger,1,99
91,45,French Fries,1,89
92,46,Pasta Alfredo,1,229
93,46,Margherita Pizza,1,249
94,47,French Fries,2,89
95,47,Veg Burger,2,99
96,47,Chicken Burger,1,149
97,48,French Fries,2,89
98,49,Uttapam,1,139
99,49,Masala Dosa,1,129
100,49,Filter Coffee,2,49
101,50,French Fries,2,89
102,50,Veg Burger,1,99
103,50,Chicken Burger,2,149
104,51,Chicken Burger,2,149
105,51,French Fries,2,89
106,51,Veg Burger,2,99
107,52,Masala Dosa,1,129
108,52,Idli Sambar,2,99
109,53,Filter Coffee,1,49
110,53,Masala Dosa,1,129
111,54,Chicken Burger,2,149
112,54,Veg Burger,1,99
113,55,Veg Burger,1,99
114,55,French Fries,2,89
115,56,Chicken Burger,2,149
116,57,Dal Makhani,2,179
117,58,Veg Manchurian,2,179
118,58,Fried Rice,2,149
119,58,Hakka Noodles,1,159
120,59,Chicken Burger,1,149
121,59,French Fries,2,89
122,60,Veg Burger,2,99
123,60,French Fries,2,89
124,60,Chicken Burger,1,149
125,61,Filter Coffee,1,49
126,61,Uttapam,1,139
127,61,Masala Dosa,2,129
128,62,Pasta Alfredo,1,229
129,62,Margherita Pizza,1,249
130,63,French Fries,2,89
131,63,Chicken Burger,1,149
132,64,Veg Burger,1,99
133,65,Hakka Noodles,2,159
134,65,Momos,2,119
135,65,Fried Rice,1,149
136,66,Masala Dosa,1,129
137,66,Idli Sambar,2,99
138,67,Chicken Burger,1,149
139,67,French Fries,2,89
140,67,Veg Burger,2,99
141,68,Chicken Burger,1,149
142,68,Veg Burger,2,99
143,68,French Fries,1,89
144,69,Veg Burger,1,99
145,69,French Fries,2,89
146,70,Naan,2,49
147,70,Butter Chicken,2,249
148,70,Dal Makhani,2,179
149,71,French Fries,1,89
150,72,Veg Burger,1,99
151,72,French Fries,1,89
152,73,Pasta Alfredo,2,229
153,73,Margherita Pizza,1,249
154,73,Garlic Bread,1,99
155,74,Chicken Burger,1,149
156,74,Veg Burger,1,99
157,75,Veg Burger,1,99
158,75,Chicken Burger,1,149
159,75,French Fries,2,89
160,76,Pasta Alfredo,2,229
161,77,Veg Burger,1,99
162,77,Chicken Burger,2,149
163,78,Veg Burger,2,99
164,79,Idli Sambar,1,99
165,79,Filter Coffee,1,49
166,80,Naan,1,49
167,81,Idli Sambar,2,99
168,82,Veg Burger,1,99
169,82,French Fries,2,89
170,83,Margherita Pizza,1,249
171,84,Chicken Burger,2,149
172,84,Veg Burger,2,99
173,84,French Fries,2,89
174,85,Margherita Pizza,2,249
175,85,Pasta Alfredo,1,229
176,86,Filter Coffee,1,49
177,86,Masala Dosa,2,129
178,87,Fried Rice,2,149
179,88,French Fries,2,89
180,89,Chicken Burger,1,149
181,90,Chicken Burger,1,149
182,90,French Fries,2,89
183,91,Margherita Pizza,1,249
184,91,Garlic Bread,1,99
185,92,Chicken Burger,1,149
186,92,French Fries,2,89
187,93,Hakka Noodles,1,159
188,93,Fried Rice,2,149
189,94,Garlic Bread,1,99
190,95,French Fries,1,89
191,96,Margherita Pizza,2,249
192,96,Garlic Bread,1,99
193,97,Veg Burger,1,99
194,97,French Fries,2,89
195,98,French Fries,2,89
196,98,Veg Burger,2,99
197,98,Chicken Burger,2,149
198,99,Veg Burger,1,99
199,99,French Fries,1,89
200,100,Fried Rice,1,149
201,101,Masala Dosa,2,129
202,102,Chicken Burger,2,149
203,102,Veg Burger,1,99
204,103,Veg Burger,2,99
205,104,French Fries,1,89
206,104,Veg Burger,2,99
207,105,Margherita Pizza,2,249
208,106,Chicken Burger,2,149
209,107,Veg Burger,1,99
210,108,Veg Burger,1,99
211,108,Chicken Burger,1,149
212,109,Chicken Burger,2,149
213,109,French Fries,1,89
214,110,Momos,2,119
215,110,Veg Manchurian,1,179
216,111,Veg Burger,1,99
217,111,Chicken Burger,1,149
218,112,Margherita Pizza,1,249
219,113,French Fries,2,89
220,114,Margherita Pizza,1,249
221,114,Garlic Bread,1,99
222,115,Paneer Tikka,2,199
223,115,Butter Chicken,2,249
224,116,French Fries,1,89
225,117,French Fries,2,89
226,117,Veg Burger,1,99
227,118,Filter Coffee,2,49
228,119,French Fries,1,89
229,120,Filter Coffee,2,49
230,120,Uttapam,2,139
231,120,Idli Sambar,1,99
232,121,Pasta Alfredo,1,229
233,121,Margherita Pizza,2,249
234,121,Garlic Bread,2,99
235,122,Chicken Burger,2,149
236,123,Margherita Pizza,1,249
237,123,Pasta Alfredo,1,229
238,124,Veg Manchurian,2,179
239,124,Momos,1,119
240,125,Veg Burger,2,99
241,125,French Fries,2,89
242,125,Chicken Burger,1,149
243,126,Fried Rice,2,149
244,127,Veg Burger,2,99
245,127,Chicken Burger,1,149
246,128,Uttapam,1,139
247,128,Masala Dosa,1,129
248,129,Fried Rice,2,149
249,129,Hakka Noodles,1,159
250,129,Veg Manchurian,1,179
251,130,Butter Chicken,2,249
252,130,Paneer Tikka,2,199
253,130,Dal Makhani,2,179
254,131,Pasta Alfredo,1,229
255,132,Pasta Alfredo,1,229
256,132,Garlic Bread,1,99
257,132,Margherita Pizza,1,249
258,133,French Fries,1,89
259,133,Chicken Burger,1,149
260,134,Veg Burger,1,99
